generated_pid,generated_species,n,coatjava_correct_fraction,fm_correct_mean_probability
-211,pi-,45772,0.5528052084243642,0.5537654757499695
211,pi+,57398,0.5879298930276317,0.588813066482544
2212,proton,56072,0.8141674989299472,0.816501259803772
